50,0.15,15,-9,-9,0.05,12,-6.4,-6.4
100,0.33,13.3,-7.4,-7.4,0.12,10.7,-5.7,-5.7
200,0.69,11.9,-6.5,-6.5,0.24,9.6,-5.1,-5.1
500,1.8,10.5,-5.7,-5.7,0.61,8.6,-4.6,-4.6
1000,3.6,9.4,-5.2,-5.2,1.2,7.8,-4.2,-4.2
2000,7,8.3,-4.6,-4.6,2.4,7,-3.8,-3.8
5000,17,6.5,-3.7,-3.7,5.8,5.7,-3.2,-3.2
10000,31,5.1,-3,-3,11,4.6,-2.7,-2.7
20000,55,3.8,-2.3,-2.3,19,3.6,-2.1,-2.1
50000,110,2.5,-1.7,-1.7,39,2.4,-1.5,-1.5
100000,180,1.9,-1.4,-1.4,64,1.7,-1.2,-1.2
200000,270,1.7,-1.2,-1.2,99,1.4,-1,-1
500000,460,1.7,-1.1,-1.1,170,1.4,-0.9,-0.9
1.00E+06,660,1.8,-1,-1,240,1.5,-0.8,-0.8
2.00E+06,920,1.9,-1,-1,350,1.6,-0.8,-0.8
5.00E+06,1400,2.1,-0.9,-0.9,530,1.9,-0.8,-0.8
1.00E+07,1900,2.2,-0.9,-0.9,730,2,-0.8,-0.8
2.00E+07,2500,2.3,-0.9,-1,980,2.2,-0.8,-0.9
5.00E+07,3700,2.5,-0.9,-1.2,1400,2.4,-0.9,-1.1
1.00E+08,4800,2.7,-1,-1.5,1900,2.6,-0.9,-1.3
2.00E+08,6200,2.8,-1,-2,2400,2.7,-1,-1.8
5.00E+08,8700,3,-1.1,-3,3400,2.9,-1,-2.6
1.00E+09,11000,3.1,-1.2,-3.9,4400,3,-1.1,-3.4
2.00E+09,14000,3.3,-1.2,-5,5600,3.2,-1.2,-4.4
5.00E+09,19000,3.4,-1.4,-6.8,7600,3.4,-1.3,-6.1
1.00E+10,24000,3.6,-1.5,-8.5,9600,3.5,-1.4,-7.6
2.00E+10,30000,3.7,-1.6,-10.3,12000,3.6,-1.5,-9.3
5.00E+10,39000,3.8,-1.7,-13.1,16000,3.8,-1.7,-11.8
1.00E+11,48000,4,-1.8,-15.2,20000,3.9,-1.8,-13.9
2.00E+11,59000,4.1,-1.9,-17.5,24000,4,-1.9,-16.1
5.00E+11,75000,4.2,-2.0,-20.3,31000,4.2,-2.0,-18.8