Frequency,Gain (Ch. 0),Phase (Ch. 0),Gain (Ch. 1),Phase (Ch. 1),Gain (Ch. 2),Phase (Ch. 2),Gain (Ch. 3),Phase (Ch. 3),Gain (Ch. 4),Phase (Ch. 4),Gain (Ch. 5),Phase (Ch. 5),Gain (Ch. 6),Phase (Ch. 6),Gain (Ch. 7),Phase (Ch. 7),Gain (Ch. 8),Phase (Ch. 8),Gain (Ch. 9),Phase (Ch. 9),Gain (Ch. 10),Phase (Ch. 10),Gain (Ch. 11),Phase (Ch. 11),Gain (Ch. 12),Phase (Ch. 12),Gain (Ch. 13),Phase (Ch. 13),Gain (Ch. 14),Phase (Ch. 14),Gain (Ch. 15),Phase (Ch. 15)\n
324.22,0.998,2.25,0.998,2.25,0.998,2.25,0.998,2.25,0.998,2.25,0.998,2.25,0.998,2.25,0.998,2.25,0.998,2.25,0.998,2.25,0.998,2.25,0.998,2.25,0.998,2.25,0.998,2.25,0.998,2.25,0.998,2.25\n
328.12,0.998,2.185,0.998,2.185,0.998,2.185,0.998,2.185,0.998,2.185,0.998,2.185,0.998,2.185,0.998,2.185,0.998,2.185,0.998,2.185,0.998,2.185,0.998,2.185,0.998,2.185,0.998,2.185,0.998,2.185,0.998,2.185\n
332.03,0.998,2.12,0.998,2.12,0.998,2.12,0.998,2.12,0.998,2.12,0.998,2.12,0.998,2.12,0.998,2.12,0.998,2.12,0.998,2.12,0.998,2.12,0.998,2.12,0.998,2.12,0.998,2.12,0.998,2.12,0.998,2.12\n
335.94,0.998,2.055,0.998,2.055,0.998,2.055,0.998,2.055,0.998,2.055,0.998,2.055,0.998,2.055,0.998,2.055,0.998,2.055,0.998,2.055,0.998,2.055,0.998,2.055,0.998,2.055,0.998,2.055,0.998,2.055,0.998,2.055\n
339.84,0.998,1.989,0.998,1.989,0.998,1.989,0.998,1.989,0.998,1.989,0.998,1.989,0.998,1.989,0.998,1.989,0.998,1.989,0.998,1.989,0.998,1.989,0.998,1.989,0.998,1.989,0.998,1.989,0.998,1.989,0.998,1.989\n
343.75,0.998,1.923,0.998,1.923,0.998,1.923,0.998,1.923,0.998,1.923,0.998,1.923,0.998,1.923,0.998,1.923,0.998,1.923,0.998,1.923,0.998,1.923,0.998,1.923,0.998,1.923,0.998,1.923,0.998,1.923,0.998,1.923\n
347.66,0.998,1.856,0.998,1.856,0.998,1.856,0.998,1.856,0.998,1.856,0.998,1.856,0.998,1.856,0.998,1.856,0.998,1.856,0.998,1.856,0.998,1.856,0.998,1.856,0.998,1.856,0.998,1.856,0.998,1.856,0.998,1.856\n
351.56,0.998,1.79,0.998,1.79,0.998,1.79,0.998,1.79,0.998,1.79,0.998,1.79,0.998,1.79,0.998,1.79,0.998,1.79,0.998,1.79,0.998,1.79,0.998,1.79,0.998,1.79,0.998,1.79,0.998,1.79,0.998,1.79\n
355.47,0.998,1.723,0.998,1.723,0.998,1.723,0.998,1.723,0.998,1.723,0.998,1.723,0.998,1.723,0.998,1.723,0.998,1.723,0.998,1.723,0.998,1.723,0.998,1.723,0.998,1.723,0.998,1.723,0.998,1.723,0.998,1.723\n
359.37,0.998,1.655,0.998,1.655,0.998,1.655,0.998,1.655,0.998,1.655,0.998,1.655,0.998,1.655,0.998,1.655,0.998,1.655,0.998,1.655,0.998,1.655,0.998,1.655,0.998,1.655,0.998,1.655,0.998,1.655,0.998,1.655\n
363.28,0.998,1.587,0.998,1.587,0.998,1.587,0.998,1.587,0.998,1.587,0.998,1.587,0.998,1.587,0.998,1.587,0.998,1.587,0.998,1.587,0.998,1.587,0.998,1.587,0.998,1.587,0.998,1.587,0.998,1.587,0.998,1.587\n
367.19,0.998,1.518,0.998,1.518,0.998,1.518,0.998,1.518,0.998,1.518,0.998,1.518,0.998,1.518,0.998,1.518,0.998,1.518,0.998,1.518,0.998,1.518,0.998,1.518,0.998,1.518,0.998,1.518,0.998,1.518,0.998,1.518\n
371.09,0.998,1.449,0.998,1.449,0.998,1.449,0.998,1.449,0.998,1.449,0.998,1.449,0.998,1.449,0.998,1.449,0.998,1.449,0.998,1.449,0.998,1.449,0.998,1.449,0.998,1.449,0.998,1.449,0.998,1.449,0.998,1.449\n
375,0.997,1.38,0.997,1.38,0.997,1.38,0.997,1.38,0.997,1.38,0.997,1.38,0.997,1.38,0.997,1.38,0.997,1.38,0.997,1.38,0.997,1.38,0.997,1.38,0.997,1.38,0.997,1.38,0.997,1.38,0.997,1.38\n
378.91,0.997,1.309,0.997,1.309,0.997,1.309,0.997,1.309,0.997,1.309,0.997,1.309,0.997,1.309,0.997,1.309,0.997,1.309,0.997,1.309,0.997,1.309,0.997,1.309,0.997,1.309,0.997,1.309,0.997,1.309,0.997,1.309\n
382.81,0.997,1.239,0.997,1.239,0.997,1.239,0.997,1.239,0.997,1.239,0.997,1.239,0.997,1.239,0.997,1.239,0.997,1.239,0.997,1.239,0.997,1.239,0.997,1.239,0.997,1.239,0.997,1.239,0.997,1.239,0.997,1.239\n
386.72,0.996,1.167,0.996,1.167,0.996,1.167,0.996,1.167,0.996,1.167,0.996,1.167,0.996,1.167,0.996,1.167,0.996,1.167,0.996,1.167,0.996,1.167,0.996,1.167,0.996,1.167,0.996,1.167,0.996,1.167,0.996,1.167\n
390.62,0.996,1.095,0.996,1.095,0.996,1.095,0.996,1.095,0.996,1.095,0.996,1.095,0.996,1.095,0.996,1.095,0.996,1.095,0.996,1.095,0.996,1.095,0.996,1.095,0.996,1.095,0.996,1.095,0.996,1.095,0.996,1.095\n
394.53,0.995,1.022,0.995,1.022,0.995,1.022,0.995,1.022,0.995,1.022,0.995,1.022,0.995,1.022,0.995,1.022,0.995,1.022,0.995,1.022,0.995,1.022,0.995,1.022,0.995,1.022,0.995,1.022,0.995,1.022,0.995,1.022\n
398.44,0.994,0.948,0.994,0.948,0.994,0.948,0.994,0.948,0.994,0.948,0.994,0.948,0.994,0.948,0.994,0.948,0.994,0.948,0.994,0.948,0.994,0.948,0.994,0.948,0.994,0.948,0.994,0.948,0.994,0.948,0.994,0.948\n
402.34,0.993,0.874,0.993,0.874,0.993,0.874,0.993,0.874,0.993,0.874,0.993,0.874,0.993,0.874,0.993,0.874,0.993,0.874,0.993,0.874,0.993,0.874,0.993,0.874,0.993,0.874,0.993,0.874,0.993,0.874,0.993,0.874\n
406.25,0.991,0.798,0.991,0.798,0.991,0.798,0.991,0.798,0.991,0.798,0.991,0.798,0.991,0.798,0.991,0.798,0.991,0.798,0.991,0.798,0.991,0.798,0.991,0.798,0.991,0.798,0.991,0.798,0.991,0.798,0.991,0.798\n
410.16,0.99,0.722,0.99,0.722,0.99,0.722,0.99,0.722,0.99,0.722,0.99,0.722,0.99,0.722,0.99,0.722,0.99,0.722,0.99,0.722,0.99,0.722,0.99,0.722,0.99,0.722,0.99,0.722,0.99,0.722,0.99,0.722\n
414.06,0.988,0.645,0.988,0.645,0.988,0.645,0.988,0.645,0.988,0.645,0.988,0.645,0.988,0.645,0.988,0.645,0.988,0.645,0.988,0.645,0.988,0.645,0.988,0.645,0.988,0.645,0.988,0.645,0.988,0.645,0.988,0.645\n
417.97,0.986,0.566,0.986,0.566,0.986,0.566,0.986,0.566,0.986,0.566,0.986,0.566,0.986,0.566,0.986,0.566,0.986,0.566,0.986,0.566,0.986,0.566,0.986,0.566,0.986,0.566,0.986,0.566,0.986,0.566,0.986,0.566\n
421.87,0.983,0.487,0.983,0.487,0.983,0.487,0.983,0.487,0.983,0.487,0.983,0.487,0.983,0.487,0.983,0.487,0.983,0.487,0.983,0.487,0.983,0.487,0.983,0.487,0.983,0.487,0.983,0.487,0.983,0.487,0.983,0.487\n
425.78,0.98,0.406,0.98,0.406,0.98,0.406,0.98,0.406,0.98,0.406,0.98,0.406,0.98,0.406,0.98,0.406,0.98,0.406,0.98,0.406,0.98,0.406,0.98,0.406,0.98,0.406,0.98,0.406,0.98,0.406,0.98,0.406\n
429.69,0.976,0.324,0.976,0.324,0.976,0.324,0.976,0.324,0.976,0.324,0.976,0.324,0.976,0.324,0.976,0.324,0.976,0.324,0.976,0.324,0.976,0.324,0.976,0.324,0.976,0.324,0.976,0.324,0.976,0.324,0.976,0.324\n
433.59,0.972,0.241,0.972,0.241,0.972,0.241,0.972,0.241,0.972,0.241,0.972,0.241,0.972,0.241,0.972,0.241,0.972,0.241,0.972,0.241,0.972,0.241,0.972,0.241,0.972,0.241,0.972,0.241,0.972,0.241,0.972,0.241\n
437.5,0.967,0.157,0.967,0.157,0.967,0.157,0.967,0.157,0.967,0.157,0.967,0.157,0.967,0.157,0.967,0.157,0.967,0.157,0.967,0.157,0.967,0.157,0.967,0.157,0.967,0.157,0.967,0.157,0.967,0.157,0.967,0.157\n
441.41,0.961,0.071,0.961,0.071,0.961,0.071,0.961,0.071,0.961,0.071,0.961,0.071,0.961,0.071,0.961,0.071,0.961,0.071,0.961,0.071,0.961,0.071,0.961,0.071,0.961,0.071,0.961,0.071,0.961,0.071,0.961,0.071\n
445.31,0.954,-0.016,0.954,-0.016,0.954,-0.016,0.954,-0.016,0.954,-0.016,0.954,-0.016,0.954,-0.016,0.954,-0.016,0.954,-0.016,0.954,-0.016,0.954,-0.016,0.954,-0.016,0.954,-0.016,0.954,-0.016,0.954,-0.016,0.954,-0.016\n
449.22,0.946,-0.104,0.946,-0.104,0.946,-0.104,0.946,-0.104,0.946,-0.104,0.946,-0.104,0.946,-0.104,0.946,-0.104,0.946,-0.104,0.946,-0.104,0.946,-0.104,0.946,-0.104,0.946,-0.104,0.946,-0.104,0.946,-0.104,0.946,-0.104\n
453.12,0.936,-0.194,0.936,-0.194,0.936,-0.194,0.936,-0.194,0.936,-0.194,0.936,-0.194,0.936,-0.194,0.936,-0.194,0.936,-0.194,0.936,-0.194,0.936,-0.194,0.936,-0.194,0.936,-0.194,0.936,-0.194,0.936,-0.194,0.936,-0.194\n
457.03,0.926,-0.285,0.926,-0.285,0.926,-0.285,0.926,-0.285,0.926,-0.285,0.926,-0.285,0.926,-0.285,0.926,-0.285,0.926,-0.285,0.926,-0.285,0.926,-0.285,0.926,-0.285,0.926,-0.285,0.926,-0.285,0.926,-0.285,0.926,-0.285\n
460.94,0.914,-0.377,0.914,-0.377,0.914,-0.377,0.914,-0.377,0.914,-0.377,0.914,-0.377,0.914,-0.377,0.914,-0.377,0.914,-0.377,0.914,-0.377,0.914,-0.377,0.914,-0.377,0.914,-0.377,0.914,-0.377,0.914,-0.377,0.914,-0.377\n
464.84,0.9,-0.471,0.9,-0.471,0.9,-0.471,0.9,-0.471,0.9,-0.471,0.9,-0.471,0.9,-0.471,0.9,-0.471,0.9,-0.471,0.9,-0.471,0.9,-0.471,0.9,-0.471,0.9,-0.471,0.9,-0.471,0.9,-0.471,0.9,-0.471\n
468.75,0.885,-0.566,0.885,-0.566,0.885,-0.566,0.885,-0.566,0.885,-0.566,0.885,-0.566,0.885,-0.566,0.885,-0.566,0.885,-0.566,0.885,-0.566,0.885,-0.566,0.885,-0.566,0.885,-0.566,0.885,-0.566,0.885,-0.566,0.885,-0.566\n
472.66,0.868,-0.661,0.868,-0.661,0.868,-0.661,0.868,-0.661,0.868,-0.661,0.868,-0.661,0.868,-0.661,0.868,-0.661,0.868,-0.661,0.868,-0.661,0.868,-0.661,0.868,-0.661,0.868,-0.661,0.868,-0.661,0.868,-0.661,0.868,-0.661\n
476.56,0.85,-0.758,0.85,-0.758,0.85,-0.758,0.85,-0.758,0.85,-0.758,0.85,-0.758,0.85,-0.758,0.85,-0.758,0.85,-0.758,0.85,-0.758,0.85,-0.758,0.85,-0.758,0.85,-0.758,0.85,-0.758,0.85,-0.758,0.85,-0.758\n
480.47,0.83,-0.855,0.83,-0.855,0.83,-0.855,0.83,-0.855,0.83,-0.855,0.83,-0.855,0.83,-0.855,0.83,-0.855,0.83,-0.855,0.83,-0.855,0.83,-0.855,0.83,-0.855,0.83,-0.855,0.83,-0.855,0.83,-0.855,0.83,-0.855\n
484.37,0.808,-0.952,0.808,-0.952,0.808,-0.952,0.808,-0.952,0.808,-0.952,0.808,-0.952,0.808,-0.952,0.808,-0.952,0.808,-0.952,0.808,-0.952,0.808,-0.952,0.808,-0.952,0.808,-0.952,0.808,-0.952,0.808,-0.952,0.808,-0.952\n
488.28,0.785,-1.05,0.785,-1.05,0.785,-1.05,0.785,-1.05,0.785,-1.05,0.785,-1.05,0.785,-1.05,0.785,-1.05,0.785,-1.05,0.785,-1.05,0.785,-1.05,0.785,-1.05,0.785,-1.05,0.785,-1.05,0.785,-1.05,0.785,-1.05\n
492.19,0.76,-1.148,0.76,-1.148,0.76,-1.148,0.76,-1.148,0.76,-1.148,0.76,-1.148,0.76,-1.148,0.76,-1.148,0.76,-1.148,0.76,-1.148,0.76,-1.148,0.76,-1.148,0.76,-1.148,0.76,-1.148,0.76,-1.148,0.76,-1.148\n
496.09,0.734,-1.245,0.734,-1.245,0.734,-1.245,0.734,-1.245,0.734,-1.245,0.734,-1.245,0.734,-1.245,0.734,-1.245,0.734,-1.245,0.734,-1.245,0.734,-1.245,0.734,-1.245,0.734,-1.245,0.734,-1.245,0.734,-1.245,0.734,-1.245\n
500,0.707,-1.343,0.707,-1.343,0.707,-1.343,0.707,-1.343,0.707,-1.343,0.707,-1.343,0.707,-1.343,0.707,-1.343,0.707,-1.343,0.707,-1.343,0.707,-1.343,0.707,-1.343,0.707,-1.343,0.707,-1.343,0.707,-1.343,0.707,-1.343\n
503.91,0.679,-1.439,0.679,-1.439,0.679,-1.439,0.679,-1.439,0.679,-1.439,0.679,-1.439,0.679,-1.439,0.679,-1.439,0.679,-1.439,0.679,-1.439,0.679,-1.439,0.679,-1.439,0.679,-1.439,0.679,-1.439,0.679,-1.439,0.679,-1.439\n
507.81,0.65,-1.534,0.65,-1.534,0.65,-1.534,0.65,-1.534,0.65,-1.534,0.65,-1.534,0.65,-1.534,0.65,-1.534,0.65,-1.534,0.65,-1.534,0.65,-1.534,0.65,-1.534,0.65,-1.534,0.65,-1.534,0.65,-1.534,0.65,-1.534\n
511.72,0.621,-1.628,0.621,-1.628,0.621,-1.628,0.621,-1.628,0.621,-1.628,0.621,-1.628,0.621,-1.628,0.621,-1.628,0.621,-1.628,0.621,-1.628,0.621,-1.628,0.621,-1.628,0.621,-1.628,0.621,-1.628,0.621,-1.628,0.621,-1.628\n
515.62,0.592,-1.721,0.592,-1.721,0.592,-1.721,0.592,-1.721,0.592,-1.721,0.592,-1.721,0.592,-1.721,0.592,-1.721,0.592,-1.721,0.592,-1.721,0.592,-1.721,0.592,-1.721,0.592,-1.721,0.592,-1.721,0.592,-1.721,0.592,-1.721\n
519.53,0.563,-1.812,0.563,-1.812,0.563,-1.812,0.563,-1.812,0.563,-1.812,0.563,-1.812,0.563,-1.812,0.563,-1.812,0.563,-1.812,0.563,-1.812,0.563,-1.812,0.563,-1.812,0.563,-1.812,0.563,-1.812,0.563,-1.812,0.563,-1.812\n
523.44,0.534,-1.901,0.534,-1.901,0.534,-1.901,0.534,-1.901,0.534,-1.901,0.534,-1.901,0.534,-1.901,0.534,-1.901,0.534,-1.901,0.534,-1.901,0.534,-1.901,0.534,-1.901,0.534,-1.901,0.534,-1.901,0.534,-1.901,0.534,-1.901\n
527.34,0.506,-1.988,0.506,-1.988,0.506,-1.988,0.506,-1.988,0.506,-1.988,0.506,-1.988,0.506,-1.988,0.506,-1.988,0.506,-1.988,0.506,-1.988,0.506,-1.988,0.506,-1.988,0.506,-1.988,0.506,-1.988,0.506,-1.988,0.506,-1.988\n
531.25,0.479,-2.074,0.479,-2.074,0.479,-2.074,0.479,-2.074,0.479,-2.074,0.479,-2.074,0.479,-2.074,0.479,-2.074,0.479,-2.074,0.479,-2.074,0.479,-2.074,0.479,-2.074,0.479,-2.074,0.479,-2.074,0.479,-2.074,0.479,-2.074\n
535.16,0.452,-2.157,0.452,-2.157,0.452,-2.157,0.452,-2.157,0.452,-2.157,0.452,-2.157,0.452,-2.157,0.452,-2.157,0.452,-2.157,0.452,-2.157,0.452,-2.157,0.452,-2.157,0.452,-2.157,0.452,-2.157,0.452,-2.157,0.452,-2.157\n
539.06,0.426,-2.239,0.426,-2.239,0.426,-2.239,0.426,-2.239,0.426,-2.239,0.426,-2.239,0.426,-2.239,0.426,-2.239,0.426,-2.239,0.426,-2.239,0.426,-2.239,0.426,-2.239,0.426,-2.239,0.426,-2.239,0.426,-2.239,0.426,-2.239\n
542.97,0.401,-2.318,0.401,-2.318,0.401,-2.318,0.401,-2.318,0.401,-2.318,0.401,-2.318,0.401,-2.318,0.401,-2.318,0.401,-2.318,0.401,-2.318,0.401,-2.318,0.401,-2.318,0.401,-2.318,0.401,-2.318,0.401,-2.318,0.401,-2.318\n
546.87,0.378,-2.395,0.378,-2.395,0.378,-2.395,0.378,-2.395,0.378,-2.395,0.378,-2.395,0.378,-2.395,0.378,-2.395,0.378,-2.395,0.378,-2.395,0.378,-2.395,0.378,-2.395,0.378,-2.395,0.378,-2.395,0.378,-2.395,0.378,-2.395\n
550.78,0.355,-2.471,0.355,-2.471,0.355,-2.471,0.355,-2.471,0.355,-2.471,0.355,-2.471,0.355,-2.471,0.355,-2.471,0.355,-2.471,0.355,-2.471,0.355,-2.471,0.355,-2.471,0.355,-2.471,0.355,-2.471,0.355,-2.471,0.355,-2.471\n
554.69,0.334,-2.544,0.334,-2.544,0.334,-2.544,0.334,-2.544,0.334,-2.544,0.334,-2.544,0.334,-2.544,0.334,-2.544,0.334,-2.544,0.334,-2.544,0.334,-2.544,0.334,-2.544,0.334,-2.544,0.334,-2.544,0.334,-2.544,0.334,-2.544\n
558.59,0.313,-2.616,0.313,-2.616,0.313,-2.616,0.313,-2.616,0.313,-2.616,0.313,-2.616,0.313,-2.616,0.313,-2.616,0.313,-2.616,0.313,-2.616,0.313,-2.616,0.313,-2.616,0.313,-2.616,0.313,-2.616,0.313,-2.616,0.313,-2.616\n
562.5,0.294,-2.685,0.294,-2.685,0.294,-2.685,0.294,-2.685,0.294,-2.685,0.294,-2.685,0.294,-2.685,0.294,-2.685,0.294,-2.685,0.294,-2.685,0.294,-2.685,0.294,-2.685,0.294,-2.685,0.294,-2.685,0.294,-2.685,0.294,-2.685\n
566.41,0.276,-2.753,0.276,-2.753,0.276,-2.753,0.276,-2.753,0.276,-2.753,0.276,-2.753,0.276,-2.753,0.276,-2.753,0.276,-2.753,0.276,-2.753,0.276,-2.753,0.276,-2.753,0.276,-2.753,0.276,-2.753,0.276,-2.753,0.276,-2.753\n
570.31,0.259,-2.819,0.259,-2.819,0.259,-2.819,0.259,-2.819,0.259,-2.819,0.259,-2.819,0.259,-2.819,0.259,-2.819,0.259,-2.819,0.259,-2.819,0.259,-2.819,0.259,-2.819,0.259,-2.819,0.259,-2.819,0.259,-2.819,0.259,-2.819\n
574.22,0.243,-2.883,0.243,-2.883,0.243,-2.883,0.243,-2.883,0.243,-2.883,0.243,-2.883,0.243,-2.883,0.243,-2.883,0.243,-2.883,0.243,-2.883,0.243,-2.883,0.243,-2.883,0.243,-2.883,0.243,-2.883,0.243,-2.883,0.243,-2.883\n
578.12,0.228,-2.946,0.228,-2.946,0.228,-2.946,0.228,-2.946,0.228,-2.946,0.228,-2.946,0.228,-2.946,0.228,-2.946,0.228,-2.946,0.228,-2.946,0.228,-2.946,0.228,-2.946,0.228,-2.946,0.228,-2.946,0.228,-2.946,0.228,-2.946\n
582.03,0.214,-3.007,0.214,-3.007,0.214,-3.007,0.214,-3.007,0.214,-3.007,0.214,-3.007,0.214,-3.007,0.214,-3.007,0.214,-3.007,0.214,-3.007,0.214,-3.007,0.214,-3.007,0.214,-3.007,0.214,-3.007,0.214,-3.007,0.214,-3.007\n
585.94,0.201,-3.067,0.201,-3.067,0.201,-3.067,0.201,-3.067,0.201,-3.067,0.201,-3.067,0.201,-3.067,0.201,-3.067,0.201,-3.067,0.201,-3.067,0.201,-3.067,0.201,-3.067,0.201,-3.067,0.201,-3.067,0.201,-3.067,0.201,-3.067\n
589.84,0.188,-3.125,0.188,-3.125,0.188,-3.125,0.188,-3.125,0.188,-3.125,0.188,-3.125,0.188,-3.125,0.188,-3.125,0.188,-3.125,0.188,-3.125,0.188,-3.125,0.188,-3.125,0.188,-3.125,0.188,-3.125,0.188,-3.125,0.188,-3.125\n
593.75,0.176,3.102,0.176,3.102,0.176,3.102,0.176,3.102,0.176,3.102,0.176,3.102,0.176,3.102,0.176,3.102,0.176,3.102,0.176,3.102,0.176,3.102,0.176,3.102,0.176,3.102,0.176,3.102,0.176,3.102,0.176,3.102\n
597.66,0.166,3.046,0.166,3.046,0.166,3.046,0.166,3.046,0.166,3.046,0.166,3.046,0.166,3.046,0.166,3.046,0.166,3.046,0.166,3.046,0.166,3.046,0.166,3.046,0.166,3.046,0.166,3.046,0.166,3.046,0.166,3.046\n
601.56,0.155,2.992,0.155,2.992,0.155,2.992,0.155,2.992,0.155,2.992,0.155,2.992,0.155,2.992,0.155,2.992,0.155,2.992,0.155,2.992,0.155,2.992,0.155,2.992,0.155,2.992,0.155,2.992,0.155,2.992,0.155,2.992\n
605.47,0.146,2.939,0.146,2.939,0.146,2.939,0.146,2.939,0.146,2.939,0.146,2.939,0.146,2.939,0.146,2.939,0.146,2.939,0.146,2.939,0.146,2.939,0.146,2.939,0.146,2.939,0.146,2.939,0.146,2.939,0.146,2.939\n
609.37,0.137,2.888,0.137,2.888,0.137,2.888,0.137,2.888,0.137,2.888,0.137,2.888,0.137,2.888,0.137,2.888,0.137,2.888,0.137,2.888,0.137,2.888,0.137,2.888,0.137,2.888,0.137,2.888,0.137,2.888,0.137,2.888\n
613.28,0.129,2.837,0.129,2.837,0.129,2.837,0.129,2.837,0.129,2.837,0.129,2.837,0.129,2.837,0.129,2.837,0.129,2.837,0.129,2.837,0.129,2.837,0.129,2.837,0.129,2.837,0.129,2.837,0.129,2.837,0.129,2.837\n
617.19,0.121,2.787,0.121,2.787,0.121,2.787,0.121,2.787,0.121,2.787,0.121,2.787,0.121,2.787,0.121,2.787,0.121,2.787,0.121,2.787,0.121,2.787,0.121,2.787,0.121,2.787,0.121,2.787,0.121,2.787,0.121,2.787\n
621.09,0.114,2.739,0.114,2.739,0.114,2.739,0.114,2.739,0.114,2.739,0.114,2.739,0.114,2.739,0.114,2.739,0.114,2.739,0.114,2.739,0.114,2.739,0.114,2.739,0.114,2.739,0.114,2.739,0.114,2.739,0.114,2.739\n
625,0.107,2.692,0.107,2.692,0.107,2.692,0.107,2.692,0.107,2.692,0.107,2.692,0.107,2.692,0.107,2.692,0.107,2.692,0.107,2.692,0.107,2.692,0.107,2.692,0.107,2.692,0.107,2.692,0.107,2.692,0.107,2.692\n
628.91,0.1,2.645,0.1,2.645,0.1,2.645,0.1,2.645,0.1,2.645,0.1,2.645,0.1,2.645,0.1,2.645,0.1,2.645,0.1,2.645,0.1,2.645,0.1,2.645,0.1,2.645,0.1,2.645,0.1,2.645,0.1,2.645\n
632.81,0.094,2.6,0.094,2.6,0.094,2.6,0.094,2.6,0.094,2.6,0.094,2.6,0.094,2.6,0.094,2.6,0.094,2.6,0.094,2.6,0.094,2.6,0.094,2.6,0.094,2.6,0.094,2.6,0.094,2.6,0.094,2.6\n
636.72,0.089,2.555,0.089,2.555,0.089,2.555,0.089,2.555,0.089,2.555,0.089,2.555,0.089,2.555,0.089,2.555,0.089,2.555,0.089,2.555,0.089,2.555,0.089,2.555,0.089,2.555,0.089,2.555,0.089,2.555,0.089,2.555\n
640.62,0.084,2.511,0.084,2.511,0.084,2.511,0.084,2.511,0.084,2.511,0.084,2.511,0.084,2.511,0.084,2.511,0.084,2.511,0.084,2.511,0.084,2.511,0.084,2.511,0.084,2.511,0.084,2.511,0.084,2.511,0.084,2.511\n
644.53,0.079,2.468,0.079,2.468,0.079,2.468,0.079,2.468,0.079,2.468,0.079,2.468,0.079,2.468,0.079,2.468,0.079,2.468,0.079,2.468,0.079,2.468,0.079,2.468,0.079,2.468,0.079,2.468,0.079,2.468,0.079,2.468\n
648.44,0.074,2.426,0.074,2.426,0.074,2.426,0.074,2.426,0.074,2.426,0.074,2.426,0.074,2.426,0.074,2.426,0.074,2.426,0.074,2.426,0.074,2.426,0.074,2.426,0.074,2.426,0.074,2.426,0.074,2.426,0.074,2.426\n
652.34,0.07,2.384,0.07,2.384,0.07,2.384,0.07,2.384,0.07,2.384,0.07,2.384,0.07,2.384,0.07,2.384,0.07,2.384,0.07,2.384,0.07,2.384,0.07,2.384,0.07,2.384,0.07,2.384,0.07,2.384,0.07,2.384\n
